"cc_iso3c","dqa_cap_dqi","dqa_crm_dqi","dqa_dig_dqi","dqa_ffm_dqi","dqa_hrm_dqi","dqa_inc_dqi","dqa_int_dqi","dqa_opn_dqi","dqa_pol_dqi","dqa_pro_dqi","dqa_reg_dqi","dqa_tax_dqi","dqa_overall","dqa_fimp","dqa_avl_smpl"
"HTI",0,0,0,0.4388888888888889,0,0,0.04133986953104575,0.19722222359722225,0,0,0,0.21296296296296297,0.07420116208167665,8,0.06034482758620689
"HUN",0,0.5093589757089744,0.5811965811965811,0.8888888888888888,0.6728395061728395,0.5486111157986112,0.5686274519803922,0.7500000034583334,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.6713799633534715,1,0.8103448275862069
"IDN",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0,0,0.35185185185185186,0.26856087018991365,5,0.3620689655172414
"IMN",0,0,0,0,0,0,0,0.08888888922222223,0,0,0,0,0.007407407435185185,11,0.008620689655172414
"IND",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.663888891638889,0,0.4444444444444444,0,0.7314814814814814,0.315705931657892,4,0.39655172413793105
"IOT",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"IRL",0.3333333333333333,0.2826068380568376,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.5076797393120915,0.46111111386111114,1,0.2777777777777778,0.962962962962963,0.8518518518518519,0.6144960252806649,0,0.8362068965517241
"IRN",0,0,0,0.4388888888888889,0,0,0.04133986953104575,0.5750000024166667,0,0,0,0.21296296296296297,0.10568264364996369,8,0.09482758620689655
"IRQ",0,0.5093589757089744,0,0.4722222222222222,0.29259259259259257,0.11666666666666667,0.320343137754902,0.10833333437500002,0,0,0,0.21296296296296297,0.1693733243569434,5,0.25862068965517243
"ISL",0,0.34534188099188035,0.5811965811965811,0.5981481481481482,0.6728395061728395,0.7222222284722224,0.46813725565196074,0.37222222463888893,1,0.2962962962962963,0.962962962962963,0.7314814814814814,0.5625707138344385,1,0.6810344827586207
"ISR",0.3333333333333333,0.34534188099188035,0,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.46813725565196074,0.5500000030833334,1,0.4444444444444444,0.962962962962963,0.7129629629629629,0.5777179123705258,1,0.7241379310344828
"ITA",0.3125,0.8547008567008547,0.5811965811965811,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.9277777819027778,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.7554825276959661,0,0.9913793103448276
"JAM",0,0,0,0.4388888888888889,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.20049700493021516,6,0.27586206896551724
"JEY",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"JOR",0,0.5093589757089744,0,0.6074074074074074,0.24074074074074073,0.11666666666666667,0.42263071995424834,0.5750000024166667,0,0,0,0.21296296296296297,0.22373062298813892,5,0.3189655172413793
"JPN",0.3333333333333333,0.34534188099188035,0,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5290849683202614,0.9277777819027778,1,0.2962962962962963,0.962962962962963,0.4907407407407407,0.5974573823401836,1,0.75
"KAZ",0,0,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.5750000024166667,0,0,0,0.21296296296296297,0.2071328073715732,6,0.27586206896551724
"KEN",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.2354590180776451,5,0.33620689655172414
"KGZ",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.5750000024166667,0,0,0,0.21296296296296297,0.24957938868065438,5,0.3448275862068966
"KHM",0,0,0,0.4388888888888889,0.29259259259259257,0.09583333489583337,0.39616013171895426,0.5750000024166667,0,0,0,0.21296296296296297,0.16761982612299156,6,0.24137931034482757
"KIR",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
"KNA",0,0.5093589757089744,0,0.3037037037037037,0,0,0,0.5750000024166667,0,0,0,0.21296296296296297,0.13341880373269233,8,0.14655172413793102
"KOR",0.3333333333333333,0.34534188099188035,0,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.8388888926805557,1,0.4444444444444444,0.962962962962963,0.8518518518518519,0.6357834534816142,1,0.7844827586206896
"KWT",0,0,0,0.4388888888888889,0,0,0.04133986953104575,0.10833333437500002,0,0,0,0.21296296296296297,0.06679375464649147,8,0.05172413793103448
"LAO",0,0.5093589757089744,0,0.4388888888888889,0,0,0.04133986953104575,0.10833333437500002,0,0,0,0.21296296296296297,0.10924033595557266,7,0.12068965517241378
"LBN",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.5750000024166667,0,0,0,0.21296296296296297,0.22805161064245993,5,0.3275862068965517
"LBR",0,0,0,0.6074074074074074,0,0,0.10228758219934642,0.48611111319444444,0,0,0,0.21296296296296297,0.11739742214701343,8,0.10344827586206896
"LBY",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
"LCA",0,0,0,0.3037037037037037,0,0,0,0.663888891638889,0,0,0,0.21296296296296297,0.09837962985879631,9,0.08620689655172414
"LIE",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0,0.034336419839891975,10,0.02586206896551724
"LKA",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.48611111319444444,0,0,0,0.21296296296296297,0.24217198124546918,5,0.33620689655172414
"LSO",0,0.5093589757089744,0,0.6074074074074074,0,0,0.10228758219934642,0.19722222359722225,0,0,0,0.21296296296296297,0.13576992932299278,7,0.14655172413793102
